number,state,createdAt,mergedAt,closedAt,org,repo,title,additions,deletions,changedFiles,commits,comments,reviews,baseRef,headRef,url
4795,"MERGED","2023-08-17T22:11:31Z","2023-08-18T18:00:00Z","2023-08-18T18:00:00Z","rcom","hermes","fix(insomnia_workspace): update json to fix import",2,2,2,2,0,2,"master","aroethe/iris_workspace","https://git.taservs.net/rcom/hermes/pull/4795"
1,"MERGED","2023-08-11T20:24:09Z","2023-08-16T19:27:49Z","2023-08-16T19:27:49Z","integrations","autoDLQ","feat(repo-init): core files for new repo",621,0,14,1,0,0,"master","aroethe/project_init","https://git.taservs.net/integrations/autoDLQ/pull/1"
10236,"CLOSED","2023-07-26T18:26:52Z","","2023-08-15T15:57:59Z","rcom","iris","feat(ibrsubmission): add deleted status stamp to IBR submission page",31,4,4,5,2,0,"master","aroethe/update_listibrsubmissions_api","https://git.taservs.net/rcom/iris/pull/10236"
4715,"MERGED","2023-07-26T18:18:20Z","2023-08-15T16:08:30Z","2023-08-15T16:08:30Z","rcom","hermes","feat(ibrsubmission): add deleted field to listIbrSubmissions",76,3,10,15,1,13,"master","aroethe/update_listibrsubmissions_api","https://git.taservs.net/rcom/hermes/pull/4715"
7014,"MERGED","2023-07-25T17:23:10Z","2023-08-09T16:40:41Z","2023-08-09T16:40:41Z","rcom","zeke","feat(ibrsubmission): add delete field to submission query and type",8,5,5,17,2,4,"master","aroethe/update_listibrsubmissions_api","https://git.taservs.net/rcom/zeke/pull/7014"
973,"CLOSED","2023-07-24T21:09:25Z","","2023-07-31T16:42:40Z","rcom","service-proto","feat(ibrsubmission): add delete field to Submission .proto",0,0,0,7,2,3,"master","aroethe/update_listibrsubmissions_api","https://git.taservs.net/rcom/service-proto/pull/973"
194,"MERGED","2023-07-11T22:19:28Z","2023-07-12T15:49:26Z","2023-07-12T15:49:26Z","integrations","DBScripts","fix(config): BaltimorePd update formId UUID",30,0,2,2,0,1,"master","aroethe/off-cycle","https://git.taservs.net/integrations/DBScripts/pull/194"
187,"MERGED","2023-06-30T18:48:25Z","2023-07-05T16:10:06Z","2023-07-05T16:10:06Z","integrations","DBScripts","docs(readme): docker login command fix",1,1,1,2,1,1,"master","aroethe/readme","https://git.taservs.net/integrations/DBScripts/pull/187"
23,"MERGED","2023-06-26T15:58:54Z","2023-06-29T20:09:01Z","2023-06-29T20:09:01Z","integrations","dalor","docs(readme): ag1 local test: update mysql_hostname instructions",1,0,1,2,0,2,"master","aroethe/readme","https://git.taservs.net/integrations/dalor/pull/23"
929,"MERGED","2023-06-15T22:03:12Z","2023-06-15T23:46:55Z","2023-06-15T23:46:55Z","integrations","translator","fix(liquid): BaltimorePd Citation fix",27,20,3,5,0,2,"master","aroethe/baltimorepd-citation-fix","https://git.taservs.net/integrations/translator/pull/929"
11,"MERGED","2023-06-13T19:04:13Z","2023-06-13T21:18:05Z","2023-06-13T21:18:05Z","Software-Services-CSE","Integrations-Testing","feat(logging): update logging path and placement",133,95,15,3,0,0,"master","aroethe/update-logging","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/11"
2,"CLOSED","2023-06-12T22:22:23Z","","2023-10-25T17:03:22Z","Software-Services-CSE","IntegrationsConfigGenerator","feat: golang build file",691,0,4,1,0,0,"master","aroethe/go-build","https://git.taservs.net/Software-Services-CSE/IntegrationsConfigGenerator/pull/2"
